numb,submission_date,state,conf_cases,conf_death
1,3/2/2020,CO,1,0
2,3/3/2020,CO,1,0
3,3/4/2020,CO,1,0
4,3/5/2020,CO,1,0
5,3/6/2020,CO,7,0
6,3/7/2020,CO,7,0
7,3/8/2020,CO,7,0
8,3/9/2020,CO,7,0
9,3/10/2020,CO,11,0
10,3/11/2020,CO,17,0
11,3/12/2020,CO,27,0
12,3/13/2020,CO,35,0
13,3/14/2020,CO,60,0
14,3/15/2020,CO,88,1
15,3/16/2020,CO,122,1
16,3/17/2020,CO,155,2
17,3/18/2020,CO,181,2
18,3/19/2020,CO,237,2
19,3/20/2020,CO,308,4
20,3/21/2020,CO,415,5
21,3/22/2020,CO,524,6
22,3/23/2020,CO,636,7
23,3/24/2020,CO,806,11
24,3/25/2020,CO,967,19
25,3/26/2020,CO,1255,24
26,3/27/2020,CO,1528,31
27,3/28/2020,CO,1818,44
28,3/29/2020,CO,2046,47
29,3/30/2020,CO,2355,51
30,3/31/2020,CO,2649,69
31,4/1/2020,CO,3007,80
32,4/2/2020,CO,3371,97
33,4/3/2020,CO,3779,111
34,4/4/2020,CO,4134,126
35,4/5/2020,CO,4485,140
36,4/6/2020,CO,4687,150
37,4/7/2020,CO,4914,179
38,4/8/2020,CO,5144,193
39,4/9/2020,CO,5649,226
40,4/10/2020,CO,5984,250
41,4/11/2020,CO,6400,274
42,4/12/2020,CO,6802,290
43,4/13/2020,CO,7159,308
44,4/14/2020,CO,7425,329
45,4/15/2020,CO,7711,357
46,4/16/2020,CO,8105,363
47,4/17/2020,CO,8432,381
48,4/18/2020,CO,8820,401
49,4/19/2020,CO,9074,408
50,4/20/2020,CO,9357,435
51,4/21/2020,CO,9611,471
52,4/22/2020,CO,9971,491
53,4/23/2020,CO,10315,526
54,4/24/2020,CO,11124,551
55,4/25/2020,CO,11702,564
56,4/26/2020,CO,12145,572
57,4/27/2020,CO,12534,595
58,4/28/2020,CO,12959,617
59,4/29/2020,CO,13351,642
60,4/30/2020,CO,14159,652
61,5/1/2020,CO,14570,693
62,5/2/2020,CO,15003,701
63,5/3/2020,CO,15395,705
64,5/4/2020,CO,15613,712
65,5/5/2020,CO,15948,762
66,5/6/2020,CO,16286,778
67,5/7/2020,CO,16711,800
68,5/8/2020,CO,17143,817
69,5/9/2020,CO,17681,824
70,5/10/2020,CO,18027,828
71,5/11/2020,CO,18237,842
72,5/12/2020,CO,18454,855
73,5/13/2020,CO,18698,881
74,5/14/2020,CO,19116,906
75,5/15/2020,CO,19481,944
76,5/16/2020,CO,19876,963
77,5/17/2020,CO,20174,966
78,5/18/2020,CO,20384,975
79,5/19/2020,CO,20641,1001
80,5/20/2020,CO,20907,1026
81,5/21/2020,CO,21254,1036
82,5/22/2020,CO,21525,1048
83,5/23/2020,CO,21961,1052
84,5/24/2020,CO,22173,1055
85,5/25/2020,CO,22432,1056
86,5/26/2020,CO,22727,1075
87,5/27/2020,CO,22895,1096
88,5/28/2020,CO,23147,1115
89,5/29/2020,CO,23464,1129
90,5/30/2020,CO,23936,1138
91,5/31/2020,CO,24234,1140
92,6/1/2020,CO,24375,1152
93,6/2/2020,CO,24570,1162
94,6/3/2020,CO,24801,1182
95,6/4/2020,CO,25093,1195
96,6/5/2020,CO,25354,1205
97,6/6/2020,CO,25581,1209
98,6/7/2020,CO,25731,1209
99,6/8/2020,CO,25862,1224
100,6/9/2020,CO,26025,1233
101,6/10/2020,CO,26137,1250
102,6/11/2020,CO,26253,1258
103,6/12/2020,CO,26484,1268
104,6/13/2020,CO,26701,1272
105,6/14/2020,CO,26814,1273
106,6/15/2020,CO,26944,1279
107,6/16/2020,CO,27071,1291
108,6/17/2020,CO,27294,1299
109,6/18/2020,CO,27529,1303
110,6/19/2020,CO,27839,1306
111,6/20/2020,CO,28006,1310
112,6/21/2020,CO,28209,1310
113,6/22/2020,CO,28351,1314
114,6/23/2020,CO,28521,1330
115,6/24/2020,CO,28747,1335
116,6/25/2020,CO,28994,1337
117,6/26/2020,CO,29280,1342
118,6/27/2020,CO,29541,1343
119,6/28/2020,CO,29823,1344
120,6/29/2020,CO,29988,1350
121,6/30/2020,CO,30191,1355
122,7/1/2020,CO,30474,1362
123,7/2/2020,CO,30837,1365
124,7/3/2020,CO,31184,1365
125,7/4/2020,CO,31471,1365
126,7/5/2020,CO,31691,1365
127,7/6/2020,CO,31872,1367
128,7/7/2020,CO,32230,1372
129,7/8/2020,CO,32566,1377
130,7/9/2020,CO,32964,1379
131,7/10/2020,CO,33586,1397
132,7/11/2020,CO,34015,1398
133,7/12/2020,CO,34380,1398
134,7/13/2020,CO,34743,1400
135,7/14/2020,CO,35141,1408
136,7/15/2020,CO,35538,1413
137,7/16/2020,CO,36122,1413
138,7/17/2020,CO,36692,1419
139,7/18/2020,CO,37192,1420
140,7/19/2020,CO,37556,1420
141,7/20/2020,CO,37977,1426
142,7/21/2020,CO,38522,1430
143,7/22/2020,CO,39120,1435
144,7/23/2020,CO,39706,1450
145,7/24/2020,CO,40397,1454
146,7/25/2020,CO,41171,1458
147,7/26/2020,CO,41734,1458
148,7/27/2020,CO,41929,1463
149,7/28/2020,CO,42762,1470
150,7/29/2020,CO,43227,1483
151,7/30/2020,CO,43667,1483
152,7/31/2020,CO,44235,1498
153,8/1/2020,CO,44764,1501
154,8/2/2020,CO,45181,1502
155,8/3/2020,CO,45428,1503
156,8/4/2020,CO,45930,1508
157,8/5/2020,CO,46438,1510
158,8/6/2020,CO,46817,1511
159,8/7/2020,CO,47229,1516
160,8/8/2020,CO,47652,1516
161,8/9/2020,CO,47941,1517
162,8/10/2020,CO,48220,1522
163,8/11/2020,CO,48485,1533
164,8/12/2020,CO,48703,1533
165,8/13/2020,CO,49124,1539
166,8/14/2020,CO,49497,1545
167,8/15/2020,CO,49759,1552
168,8/16/2020,CO,50101,1552
169,8/17/2020,CO,50267,1552
170,8/18/2020,CO,50496,1555
171,8/19/2020,CO,50774,1556
172,8/20/2020,CO,51114,1559
173,8/21/2020,CO,51483,1566
174,8/22/2020,CO,51769,1573
175,8/23/2020,CO,52024,1573
176,8/24/2020,CO,52214,1574
177,8/25/2020,CO,52489,1580
178,8/26/2020,CO,52704,1581
179,8/27/2020,CO,53053,1585
180,8/28/2020,CO,53454,1591
181,8/29/2020,CO,53734,1596
182,8/30/2020,CO,53946,1596
183,8/31/2020,CO,54122,1597
184,9/1/2020,CO,54421,1598
185,9/2/2020,CO,54622,1604
186,9/3/2020,CO,54892,1606
187,9/4/2020,CO,55249,1617
188,9/5/2020,CO,55546,1622
189,9/6/2020,CO,55811,1623
190,9/7/2020,CO,56039,1623
191,9/8/2020,CO,56215,1623
192,9/9/2020,CO,56485,1627
193,9/10/2020,CO,56685,1629
194,9/11/2020,CO,56994,1634
195,9/12/2020,CO,57360,1637
196,9/13/2020,CO,57789,1637
197,9/14/2020,CO,58161,1639
198,9/15/2020,CO,58512,1645
199,9/16/2020,CO,58926,1651
200,9/17/2020,CO,59359,1655
201,9/18/2020,CO,59939,1658
202,9/19/2020,CO,60538,1662
203,9/20/2020,CO,61010,1663
204,9/21/2020,CO,61546,1666
205,9/22/2020,CO,62133,1672
206,9/23/2020,CO,62705,1676
207,9/24/2020,CO,63288,1678
208,9/25/2020,CO,63928,1682
209,9/26/2020,CO,64523,1684
210,9/27/2020,CO,65094,1685
211,9/28/2020,CO,65534,1687
212,9/29/2020,CO,66014,1689
213,9/30/2020,CO,66504,1694
214,10/1/2020,CO,67172,1696
215,10/2/2020,CO,67849,1696
216,10/3/2020,CO,68481,1696
217,10/4/2020,CO,69004,1706
218,10/5/2020,CO,69527,1707
219,10/6/2020,CO,70106,1718
220,10/7/2020,CO,70820,1720
221,10/8/2020,CO,71638,1729
222,10/9/2020,CO,72425,1736
223,10/10/2020,CO,73422,1744
224,10/11/2020,CO,74291,1745
225,10/12/2020,CO,74867,1747
226,10/13/2020,CO,75959,1777
227,10/14/2020,CO,76665,1781
228,10/15/2020,CO,77834,1783
229,10/16/2020,CO,79018,1792
230,10/17/2020,CO,80060,1796
231,10/18/2020,CO,81076,1796
232,10/19/2020,CO,82199,1800
233,10/20/2020,CO,83223,1801
234,10/21/2020,CO,84264,1812
235,10/22/2020,CO,85741,1816
236,10/23/2020,CO,87243,1829
237,10/24/2020,CO,88974,1835
238,10/25/2020,CO,90650,1839
239,10/26/2020,CO,92886,1843
240,10/27/2020,CO,94249,1850
241,10/28/2020,CO,95517,1861
242,10/29/2020,CO,97270,1880
243,10/30/2020,CO,99715,1886
244,10/31/2020,CO,102601,1893
245,11/1/2020,CO,105310,1893
246,11/2/2020,CO,107761,1899
247,11/3/2020,CO,110405,1915
248,11/4/2020,CO,113383,1935
249,11/5/2020,CO,116948,1956
250,11/6/2020,CO,120730,1978
251,11/7/2020,CO,124568,1990
252,11/8/2020,CO,128001,1994
253,11/9/2020,CO,131949,2007
254,11/10/2020,CO,135726,2024
255,11/11/2020,CO,139645,2039
256,11/12/2020,CO,145059,2060
257,11/13/2020,CO,151725,2096
258,11/14/2020,CO,156915,2116
259,11/15/2020,CO,161313,2137
260,11/16/2020,CO,165349,2153
261,11/17/2020,CO,169814,2177
262,11/18/2020,CO,174876,2207
263,11/19/2020,CO,181067,2277
264,11/20/2020,CO,187164,2291
265,11/21/2020,CO,193119,2326
266,11/22/2020,CO,197456,2343
267,11/23/2020,CO,201809,2347
268,11/24/2020,CO,205504,2396
269,11/25/2020,CO,209466,2439
270,11/26/2020,CO,215706,2485
271,11/27/2020,CO,220229,2505
272,11/28/2020,CO,225014,2511
273,11/29/2020,CO,229069,2530
274,11/30/2020,CO,233592,2561
275,12/1/2020,CO,238345,2619
276,12/2/2020,CO,242497,2700
277,12/3/2020,CO,248757,2819
278,12/4/2020,CO,254518,2831
279,12/5/2020,CO,259047,2840
280,12/6/2020,CO,262606,2839
281,12/7/2020,CO,266791,2841
282,12/8/2020,CO,270696,2845
283,12/9/2020,CO,274176,3100
284,12/10/2020,CO,278761,3210
285,12/11/2020,CO,282734,3283
286,12/12/2020,CO,286598,3305
287,12/13/2020,CO,289297,3388
288,12/14/2020,CO,292228,3398
289,12/15/2020,CO,294023,3505
290,12/16/2020,CO,296793,3570
291,12/17/2020,CO,300228,3633
292,12/18/2020,CO,303350,3655
293,12/19/2020,CO,305554,3730
294,12/20/2020,CO,307737,3759
295,12/21/2020,CO,309698,3769
296,12/22/2020,CO,311599,3747
297,12/23/2020,CO,314010,3831
298,12/24/2020,CO,316399,3913
299,12/25/2020,CO,319038,3948
300,12/26/2020,CO,320283,3953
301,12/27/2020,CO,321626,3979
302,12/28/2020,CO,323279,4001
303,12/29/2020,CO,324493,4047
304,12/30/2020,CO,326424,4111
305,12/31/2020,CO,329081,4168
306,1/1/2021,CO,331687,4221
307,1/2/2021,CO,333535,4259
308,1/3/2021,CO,335357,4280
309,1/4/2021,CO,337308,4290
310,1/5/2021,CO,338759,4333
311,1/6/2021,CO,340707,4333
312,1/7/2021,CO,343912,4436
313,1/8/2021,CO,346936,4469
314,1/9/2021,CO,349698,4517
315,1/10/2021,CO,351727,4534
316,1/11/2021,CO,353337,4539
317,1/12/2021,CO,354737,4558
318,1/13/2021,CO,356932,4596
319,1/14/2021,CO,359015,4632
320,1/15/2021,CO,360990,4659
321,1/16/2021,CO,362891,4679
322,1/17/2021,CO,364367,4694
323,1/18/2021,CO,365267,4699
324,1/19/2021,CO,366808,4702
325,1/20/2021,CO,368045,4731
326,1/21/2021,CO,369885,4746
327,1/22/2021,CO,371547,4761
328,1/23/2021,CO,373342,4778
329,1/24/2021,CO,374617,4801
330,1/25/2021,CO,375748,4808
331,1/26/2021,CO,376592,4809
332,1/27/2021,CO,377951,4843
333,1/28/2021,CO,379400,4858
334,1/29/2021,CO,380907,4882
335,1/30/2021,CO,382290,4882
336,1/31/2021,CO,383400,4882
337,2/1/2021,CO,384244,4932
338,2/2/2021,CO,384978,4942
339,2/3/2021,CO,386184,4957
340,2/4/2021,CO,387581,4970
341,2/5/2021,CO,389306,4994
342,2/6/2021,CO,390497,5010
343,2/7/2021,CO,391484,5020
344,2/8/2021,CO,392205,5020
345,2/9/2021,CO,392901,5031
346,2/10/2021,CO,393952,5055
347,2/11/2021,CO,395390,5063
348,2/12/2021,CO,396669,5071
349,2/13/2021,CO,397707,5094
350,2/14/2021,CO,398477,5104
351,2/15/2021,CO,399024,5106
352,2/16/2021,CO,399521,5108
353,2/17/2021,CO,400466,5114
354,2/18/2021,CO,401575,5135
355,2/19/2021,CO,402714,5148
356,2/20/2021,CO,403643,5159
357,2/21/2021,CO,404485,5164
358,2/22/2021,CO,405131,5165
359,2/23/2021,CO,406000,5175
360,2/24/2021,CO,407154,5185
361,2/25/2021,CO,408341,5193
362,2/26/2021,CO,409516,5207
363,2/27/2021,CO,410446,5211
364,2/28/2021,CO,411252,5217
365,3/1/2021,CO,411869,5218
366,3/2/2021,CO,412535,5223
